FIRE_CODE,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,COUNTY,COUNTY_CODE,FIPS_NAME,STATE_NAME,COUNTY_NAME,STATE_CODE
2300,LATE,1998,1998-03-24,83,1725.0,Miscellaneous,1998-03-25,84.0,930.0,1.6,B,35.33333333,-111.53333333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,CLOVER,1998,1998-05-23,143,1615.0,Campfire,1998-05-23,143.0,1830.0,0.4,B,34.515,-111.365,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,HIGHFIVE,1998,1998-01-20,20,1550.0,Campfire,1998-01-20,20.0,1610.0,0.1,A,34.44166667,-111.49333333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,WEST,1998,1998-05-19,139,1130.0,Campfire,1998-05-19,139.0,1140.0,0.5,B,34.55833333,-111.40166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,DAZE,1998,1998-05-22,142,1530.0,Campfire,1998-05-22,142.0,1730.0,1.5,B,34.71666667,-111.24166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,BATTLE,1998,1998-05-24,144,1630.0,Campfire,1998-05-25,145.0,500.0,1.0,B,34.53,-111.24166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,BLAZE,1998,1998-05-25,145,1345.0,Campfire,1998-05-25,145.0,1515.0,0.3,B,34.48666667,-111.295,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,WILLOW,1998,1998-05-26,146,1200.0,Campfire,1998-05-27,147.0,730.0,2.0,B,34.55833333,-111.40166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,MUD,1998,1998-05-27,147,1645.0,Smoking,1998-05-27,147.0,1715.0,0.1,A,34.54333333,-111.24166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,LONG,1998,1998-05-28,148,1420.0,Smoking,1998-05-28,148.0,1530.0,0.1,A,34.53,-111.33,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,TOMS,1998,1998-05-28,148,1645.0,Miscellaneous,1998-05-28,148.0,2000.0,1.0,B,34.55833333,-111.40166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,ELK,1998,1998-05-30,150,1430.0,Campfire,1998-05-30,150.0,1500.0,0.1,A,34.60166667,-111.18833333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,ROCK,1998,1998-06-02,153,1045.0,Campfire,1998-06-02,153.0,1130.0,0.1,A,34.57166667,-111.225,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,BALD,1998,1998-06-07,158,650.0,Campfire,1998-06-07,158.0,1030.0,1.0,B,34.615,-111.31333333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,JOHNSON,1998,1998-06-07,158,1245.0,Miscellaneous,1998-06-07,158.0,1500.0,0.3,B,34.42666667,-111.33666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,BLUE,1998,1998-06-07,158,1400.0,Campfire,1998-06-07,158.0,1500.0,0.2,A,34.57166667,-111.225,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,BLY,1998,1998-06-07,158,1305.0,Campfire,1998-06-07,158.0,1500.0,0.3,B,34.645,-111.11666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,SMOKE,1998,1998-06-14,165,1230.0,Miscellaneous,1998-06-14,165.0,1430.0,0.1,A,34.47166667,-111.45333333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,BAKER,1998,1998-06-18,169,920.0,Campfire,1998-06-18,169.0,1030.0,0.1,A,34.455,-111.35333333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,BROKEN,1998,1998-06-19,170,1645.0,Miscellaneous,1998-06-19,170.0,1845.0,0.1,A,34.83666667,-111.75,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,HICKS,1998,1998-06-21,172,1430.0,Campfire,1998-06-21,172.0,1500.0,0.1,A,34.5,-111.43666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,CLEAR,1998,1998-06-22,173,600.0,Campfire,1998-06-23,174.0,1200.0,23.0,C,34.515,-111.20666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,BACK,1998,1998-06-22,173,615.0,Campfire,1998-06-22,173.0,1100.0,0.5,B,34.54333333,-111.40166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,BUCK,1998,1998-06-22,173,1505.0,Miscellaneous,1998-06-22,173.0,1700.0,0.5,B,34.70166667,-111.47166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,PEEWEE,1998,1998-06-23,174,1400.0,Campfire,1998-06-23,174.0,1500.0,0.1,A,34.44166667,-111.35333333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,SAND,1998,1998-06-24,175,945.0,Miscellaneous,1998-06-26,177.0,1800.0,272.0,D,34.455,-111.45833333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,BUCKET,1998,1998-06-24,175,1200.0,Campfire,1998-06-24,175.0,1345.0,0.1,A,34.58666667,-111.18833333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,KINDER,1998,1998-06-24,175,1500.0,Smoking,1998-06-24,175.0,1630.0,0.1,A,34.48666667,-111.295,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,STRAW,1998,1998-06-25,176,1420.0,Equipment Use,1998-06-25,176.0,1800.0,1.5,B,34.42666667,-111.49333333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,MILLER,1998,1998-06-28,179,600.0,Children,1998-06-28,179.0,1700.0,6.0,B,34.53,-111.27666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,P.T.,1998,1998-06-05,156,800.0,Campfire,1998-06-05,156.0,1100.0,0.3,B,35.09166667,-111.59166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,SKELETON,1998,1998-06-01,152,1330.0,Miscellaneous,1998-06-01,152.0,1530.0,0.1,A,34.9,-111.62666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
2300,FERN,1998,1998-07-21,202,1042.0,Lightning,1998-07-28,209.0,1029.0,0.1,A,35.29166667,-111.65833333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
